Name,Phone No,Birth date
Deborah P. Mason,563-383-7640,"November 21, 1994"
Victor R. Frey,410-206-0222,"May 21, 1958"
Barry M. Nagy,914-542-0042,"June 27, 1945"
James C. Dutton,717-377-7154,"May 13, 1964"
Mary R. Swain,708-576-8797,"March 13, 1972"
Matthew D. Hearon,786-282-0043,"August 28, 1942"
Nicole T. Edwards,239-572-2116,"July 11, 1952"
Eugene R. Hernandez,212-697-6998,"September 12, 1985"
Lois C. McCollum,860-752-9089,"October 18, 1959"
Priscilla F. Smith,409-893-3292,"September 1, 1989"
Candace M. Flood,216-883-0425,"May 29, 1951"
